"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24"
"2466",1942044.00,2.20,403885.00,870370.00,348230.00,522140.00,4.80,870375.00,799140.00,71235.00,870375.00,801740.00,68635.00,868760.00,606780.00,261975.00,348225.00,59.30,20.20,1366.00,522145.00,8.70,36.80,851.00
"24660001",657.00,2.30,35.00,255.00,205.00,50.00,6.50,255.00,250.00,10.00,255.00,240.00,15.00,255.00,210.00,45.00,205.00,61.00,12.20,1392.00,55.00,0.00,36.40,916.00
"24660002",534.00,2.80,25.00,175.00,140.00,35.00,6.50,175.00,175.00,0.00,175.00,155.00,20.00,175.00,160.00,15.00,140.00,62.10,0.00,1184.00,35.00,0.00,0.00,889.00
"24660003",303.00,2.40,30.00,125.00,65.00,60.00,5.20,125.00,105.00,20.00,125.00,115.00,10.00,125.00,95.00,30.00,70.00,61.50,0.00,1148.00,60.00,0.00,25.00,834.00
"24660004",283.00,2.40,5.00,120.00,120.00,0.00,6.80,120.00,110.00,0.00,120.00,120.00,0.00,120.00,115.00,0.00,120.00,54.20,0.00,968.00,0.00,0.00,0.00,0.00
"24660005",235.00,2.60,,90.00,90.00,0.00,7.30,90.00,90.00,0.00,90.00,90.00,0.00,,,,90.00,38.90,,885.00,0.00,0.00,,0.00
"24660006",411.00,2.10,50.00,180.00,70.00,110.00,4.90,180.00,175.00,0.00,180.00,155.00,30.00,180.00,145.00,35.00,70.00,64.30,0.00,1059.00,110.00,0.00,18.20,682.00
"24660007",677.00,2.40,75.00,295.00,175.00,115.00,5.70,295.00,275.00,20.00,295.00,280.00,15.00,295.00,250.00,45.00,175.00,66.70,14.30,1137.00,120.00,0.00,16.70,717.00
"24660008",534.00,2.60,40.00,210.00,165.00,45.00,6.30,215.00,205.00,0.00,215.00,205.00,10.00,210.00,190.00,25.00,165.00,39.40,0.00,877.00,45.00,0.00,33.30,718.00
"24660009",245.00,2.30,,105.00,90.00,20.00,6.60,110.00,100.00,10.00,105.00,105.00,0.00,,,,90.00,72.20,,1195.00,20.00,0.00,,0.00
"24660010",659.00,2.10,40.00,245.00,180.00,60.00,5.20,245.00,240.00,10.00,245.00,220.00,25.00,240.00,200.00,40.00,185.00,58.30,11.10,1138.00,60.00,0.00,30.80,1081.00
"24660011",644.00,2.10,125.00,300.00,120.00,180.00,5.10,300.00,280.00,15.00,295.00,265.00,30.00,300.00,220.00,75.00,115.00,70.80,0.00,1099.00,180.00,0.00,38.90,808.00
"24660012",821.00,2.10,140.00,400.00,225.00,180.00,4.80,405.00,370.00,30.00,400.00,370.00,30.00,405.00,295.00,110.00,220.00,84.40,15.60,1147.00,180.00,0.00,44.40,693.00
"24660013",481.00,2.60,65.00,185.00,135.00,50.00,6.30,185.00,175.00,10.00,185.00,155.00,30.00,185.00,160.00,25.00,135.00,57.70,0.00,1100.00,50.00,0.00,40.00,639.00
"24660014",531.00,2.70,35.00,190.00,160.00,35.00,6.80,190.00,180.00,20.00,195.00,195.00,0.00,195.00,185.00,10.00,165.00,57.60,0.00,998.00,30.00,0.00,0.00,771.00
"24660015",432.00,1.90,175.00,215.00,0.00,210.00,4.00,210.00,190.00,25.00,210.00,175.00,30.00,215.00,130.00,85.00,0.00,0.00,0.00,0.00,205.00,0.00,40.50,727.00
"24660016",692.00,2.20,15.00,325.00,320.00,10.00,5.60,325.00,315.00,10.00,325.00,305.00,15.00,325.00,305.00,20.00,315.00,66.70,6.20,973.00,0.00,0.00,0.00,0.00
"24660017",505.00,1.80,90.00,270.00,130.00,140.00,4.80,270.00,270.00,0.00,270.00,255.00,15.00,270.00,185.00,90.00,130.00,69.20,15.40,1065.00,140.00,0.00,50.00,658.00
"24660020",431.00,2.30,5.00,175.00,175.00,10.00,6.80,175.00,175.00,10.00,180.00,175.00,0.00,180.00,175.00,0.00,170.00,51.40,0.00,842.00,0.00,0.00,0.00,0.00
"24660021",565.00,2.80,265.00,210.00,30.00,175.00,4.70,210.00,185.00,25.00,205.00,205.00,0.00,205.00,185.00,20.00,30.00,0.00,0.00,0.00,180.00,42.90,8.60,615.00
"24660022",329.00,2.50,5.00,125.00,110.00,20.00,7.10,125.00,125.00,0.00,130.00,125.00,0.00,125.00,120.00,10.00,110.00,54.50,0.00,911.00,25.00,0.00,0.00,0.00
"24660023",531.00,2.10,130.00,240.00,105.00,135.00,5.10,240.00,225.00,15.00,245.00,230.00,15.00,235.00,155.00,80.00,105.00,66.70,23.80,1204.00,135.00,0.00,42.30,697.00
"24660024",616.00,2.50,60.00,235.00,175.00,60.00,5.60,235.00,210.00,25.00,240.00,215.00,25.00,235.00,190.00,40.00,175.00,62.90,20.00,918.00,65.00,0.00,0.00,707.00
"24660025",527.00,2.30,75.00,235.00,95.00,135.00,4.80,230.00,205.00,20.00,230.00,215.00,20.00,230.00,165.00,65.00,95.00,68.40,31.60,1083.00,135.00,0.00,29.60,806.00
"24660026",715.00,1.90,,115.00,25.00,95.00,4.60,120.00,115.00,10.00,120.00,105.00,10.00,,,,25.00,75.00,,0.00,100.00,73.70,,449.00
"24660027",568.00,2.20,70.00,260.00,135.00,125.00,5.90,255.00,235.00,20.00,260.00,240.00,15.00,260.00,215.00,45.00,135.00,51.90,0.00,1009.00,125.00,0.00,32.00,755.00
"24660028",338.00,2.80,35.00,120.00,120.00,0.00,7.30,125.00,115.00,10.00,125.00,105.00,10.00,125.00,105.00,20.00,115.00,56.50,13.00,882.00,0.00,0.00,0.00,0.00
"24660029",387.00,3.00,20.00,125.00,125.00,0.00,7.20,125.00,120.00,10.00,125.00,115.00,10.00,125.00,115.00,10.00,125.00,68.00,0.00,1040.00,0.00,0.00,0.00,0.00
"24660030",1090.00,2.80,155.00,410.00,290.00,120.00,6.30,410.00,390.00,20.00,410.00,390.00,20.00,410.00,365.00,45.00,290.00,70.70,5.20,1051.00,120.00,41.70,25.00,674.00
"24660031",508.00,2.90,30.00,170.00,165.00,0.00,7.10,165.00,160.00,10.00,170.00,165.00,0.00,170.00,145.00,30.00,165.00,75.80,15.20,1101.00,0.00,0.00,0.00,0.00
"24660032",472.00,2.50,25.00,185.00,160.00,25.00,6.70,180.00,180.00,0.00,185.00,185.00,0.00,185.00,165.00,20.00,160.00,68.80,0.00,994.00,25.00,0.00,0.00,649.00
"24660033",904.00,2.40,40.00,380.00,335.00,45.00,6.30,380.00,365.00,10.00,375.00,360.00,15.00,375.00,335.00,45.00,340.00,52.20,10.40,940.00,45.00,0.00,0.00,780.00
"24660034",353.00,2.60,10.00,140.00,135.00,0.00,7.50,135.00,140.00,0.00,135.00,140.00,0.00,135.00,135.00,0.00,135.00,50.00,0.00,910.00,0.00,0.00,0.00,0.00
"24660035",457.00,2.90,15.00,165.00,165.00,0.00,7.70,160.00,155.00,10.00,160.00,165.00,0.00,160.00,165.00,0.00,160.00,39.40,0.00,849.00,0.00,0.00,0.00,0.00
"24660036",784.00,1.50,145.00,510.00,190.00,320.00,3.80,510.00,490.00,25.00,515.00,500.00,15.00,515.00,390.00,120.00,195.00,86.80,21.10,871.00,320.00,18.80,28.10,717.00
"24660037",655.00,2.20,105.00,290.00,105.00,185.00,4.90,290.00,260.00,25.00,290.00,270.00,20.00,285.00,225.00,60.00,105.00,61.90,0.00,889.00,180.00,13.90,27.80,681.00
